id;formacao_ouvinte;origem_ouvinte;instituicao_ouvinte;laboratorio_ouvinte;data;mes;ano;palestra;palestrante;titulo;responsavel;nacionalidade;origem_palestrante;instituicao_palestrante;ppge;laboratorio_palestrante;formacao_palestrante;tema #1;horario;semana;local
191;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
105;Mestrado;PPGE;UFRJ;Limnologia;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
29;Doutorado;PPGE;UFRJ;LECP;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
53;Mestrado;PPGE;UFRJ;LECP;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
3;Mestre;PPGE;UFRJ;Limnologia;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
56;Doutorado;PPGE;UFRJ;Limnologia;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
46;Graduacao;IB;UFRJ;Limnologia;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
178;Graduacao;IB;UFRJ;Inseto-Planta;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
170;PosDoc;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
74;Mestrado;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
