"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
7834,33,"BRA","Brazil",21,"Rio Grande do Sul",4073,"Muitos Capões",7834,"Vila Ituim","Distrito","District",NA,NA
7835,33,"BRA","Brazil",21,"Rio Grande do Sul",4074,"Muliterno",7835,"Muliterno","Distrito","District",NA,NA
7836,33,"BRA","Brazil",21,"Rio Grande do Sul",4075,"Nicolau Vergueiro",7836,"Nicolau Vergueiro","Distrito","District",NA,NA
7837,33,"BRA","Brazil",21,"Rio Grande do Sul",4076,"Nonoai",7837,"Nonoai","Distrito","District",NA,NA
7838,33,"BRA","Brazil",21,"Rio Grande do Sul",4077,"Nova Alvorada",7838,"General Cadorna","Distrito","District",NA,NA
7839,33,"BRA","Brazil",21,"Rio Grande do Sul",4077,"Nova Alvorada",7839,"Nova Alvorada","Distrito","District",NA,NA
7840,33,"BRA","Brazil",21,"Rio Grande do Sul",4078,"Nova Araçá",7840,"Nova Araçá","Distrito","District",NA,NA
7841,33,"BRA","Brazil",21,"Rio Grande do Sul",4079,"Nova Bassano",7841,"Nova Bassano","Distrito","District",NA,NA
7842,33,"BRA","Brazil",21,"Rio Grande do Sul",4080,"Nova Boa Vista",7842,"Nova Boa Vista","Distrito","District",NA,NA
7843,33,"BRA","Brazil",21,"Rio Grande do Sul",4081,"Nova Bréscia",7843,"Coqueiro Baixo","Distrito","District",NA,NA
7844,33,"BRA","Brazil",21,"Rio Grande do Sul",4081,"Nova Bréscia",7844,"Nova Bréscia","Distrito","District",NA,NA
7845,33,"BRA","Brazil",21,"Rio Grande do Sul",4082,"Nova Candelária",7845,"Nova Candelária","Distrito","District",NA,NA
7846,33,"BRA","Brazil",21,"Rio Grande do Sul",4083,"Nova Esperança do Sul",7846,"Nova Esperança do Sul","Distrito","District",NA,NA
7847,33,"BRA","Brazil",21,"Rio Grande do Sul",4084,"Nova Hartz",7847,"Nova Hartz","Distrito","District",NA,NA
7848,33,"BRA","Brazil",21,"Rio Grande do Sul",4085,"Nova Pádua",7848,"Canhembora","Distrito","District",NA,NA
7849,33,"BRA","Brazil",21,"Rio Grande do Sul",4086,"Nova Palma",7849,"Nova Palma","Distrito","District",NA,NA
7850,33,"BRA","Brazil",21,"Rio Grande do Sul",4086,"Nova Palma",7850,"Nova Petrópolis","Distrito","District",NA,NA
7851,33,"BRA","Brazil",21,"Rio Grande do Sul",4086,"Nova Palma",7851,"Vila Cruz","Distrito","District",NA,NA
7852,33,"BRA","Brazil",21,"Rio Grande do Sul",4087,"Nova Petrópolis",7852,"Nova Prata","Distrito","District",NA,NA
7853,33,"BRA","Brazil",21,"Rio Grande do Sul",4087,"Nova Petrópolis",7853,"Pinhal Alto","Distrito","District",NA,NA
7854,33,"BRA","Brazil",21,"Rio Grande do Sul",4087,"Nova Petrópolis",7854,"Vale do Rio Cai","Distrito","District",NA,NA
7855,33,"BRA","Brazil",21,"Rio Grande do Sul",4088,"Nova Prata",7855,"Nova Pádua","Distrito","District",NA,NA
7856,33,"BRA","Brazil",21,"Rio Grande do Sul",4088,"Nova Prata",7856,"Rio Branco","Distrito","District",NA,NA
7857,33,"BRA","Brazil",21,"Rio Grande do Sul",4089,"Nova Ramada",7857,"Nova Ramada","Distrito","District",NA,NA
7858,33,"BRA","Brazil",21,"Rio Grande do Sul",4090,"Nova Roma do Sul",7858,"Nova Roma do Sul","Distrito","District",NA,NA
7859,33,"BRA","Brazil",21,"Rio Grande do Sul",4091,"Nova Santa Rita",7859,"Nova Santa Rita","Distrito","District",NA,NA
7860,33,"BRA","Brazil",21,"Rio Grande do Sul",4092,"Novo Barreiro",7860,"Novo Barreiro","Distrito","District",NA,NA
7861,33,"BRA","Brazil",21,"Rio Grande do Sul",4093,"Novo Cabrais",7861,"Novo Cabrais","Distrito","District",NA,NA
7862,33,"BRA","Brazil",21,"Rio Grande do Sul",4094,"Novo Hamburgo",7862,"Novo Hamburgo","Distrito","District",NA,NA
7863,33,"BRA","Brazil",21,"Rio Grande do Sul",4095,"Novo Machado",7863,"Novo Machado","Distrito","District",NA,NA
7864,33,"BRA","Brazil",21,"Rio Grande do Sul",4095,"Novo Machado",7864,"Pratos","Distrito","District",NA,NA
7865,33,"BRA","Brazil",21,"Rio Grande do Sul",4096,"Novo Tiradentes",7865,"Novo Tiradentes","Distrito","District",NA,NA
7866,33,"BRA","Brazil",21,"Rio Grande do Sul",4097,"Osório",7866,"Aguapes","Distrito","District",NA,NA
7867,33,"BRA","Brazil",21,"Rio Grande do Sul",4097,"Osório",7867,"Atlantida Sul","Distrito","District",NA,NA
7868,33,"BRA","Brazil",21,"Rio Grande do Sul",4097,"Osório",7868,"Osório","Distrito","District",NA,NA
